StudentID,FYGPA,Sex,IPEDSrace,FYAid,HSClassRank,SATreading,SATmath,SATwriting,ACT,Major,Division
1,3.85,M,WH,0,1st decile,650,720,640,NA,MUSI,Arts
2,3.64,F,WH,0,NA,760,640,670,NA,GEOG,SocSci
3,3.86,M,WH,25000-34999,Top 5,NA,NA,NA,27,MUSI,Arts
4,3.78,F,AS,0,NA,720,660,600,NA,ENVI,NatSci
5,3.87,F,NR,35000-44999,NA,540,630,560,NA,MSCS,NatSci
6,3.86,F,NR,35000-44999,NA,530,550,520,NA,SOCI,SocSci
7,3.52,M,WH,0,NA,770,800,690,NA,BIOL,NatSci
8,3.18,M,NR,35000-44999,NA,600,630,580,NA,ECON,SocSci
9,3.65,M,WH,35000-44999,NA,590,660,560,NA,ECON,SocSci
10,3.58,M,WH,35000-44999,Top 5,590,680,590,29,CHEM,NatSci
11,3.41,F,WH,0,Top 5,NA,NA,NA,30,ECON,SocSci
12,3.56,M,WH,0,NA,680,700,580,NA,MSCS,NatSci
13,3.67,F,WH,35000-44999,Top 5,NA,NA,NA,27,CLAS,Humanities
14,3.73,F,WH,0,2nd decile,NA,NA,NA,31,MUSI,Arts
15,3.99,F,NR,35000-44999,NA,580,560,640,NA,FREN,Humanities
16,3.8,M,NR,35000-44999,NA,560,550,620,NA,GEOG,SocSci
17,3.51,M,WH,35000-44999,2nd decile,NA,NA,NA,31,GEOL,NatSci
18,3.67,M,WH,35000-44999,2nd decile,NA,NA,NA,26,PSYC,SocSci
19,3.49,F,WH,15001-24999,2nd decile,580,610,670,26,ART,Arts
20,2.96,M,HI,15001-24999,Top 5,680,600,650,26,PHIL,Humanities
21,3.29,F,NR,35000-44999,NA,450,510,480,NA,BIOL,NatSci
22,2.96,M,NR,35000-44999,NA,480,410,490,NA,PSYC,SocSci
23,3.49,F,WH,15001-24999,Top 5,700,520,620,30,SOCI,SocSci
24,3,M,WH,1-15000,1st decile,NA,NA,NA,27,MSCS,NatSci
25,3.63,F,HI,35000-44999,NA,530,590,560,NA,BIOL,NatSci
26,3.91,M,WH,15001-24999,2nd decile,640,650,650,NA,BIOL,NatSci
27,3.76,M,WH,0,NA,660,700,780,NA,MSCS,NatSci
28,3.47,M,WH,0,NA,680,730,670,NA,ECON,SocSci
29,3.71,M,NR,35000-44999,NA,490,550,490,NA,PSYC,SocSci
30,3.8,F,NR,0,2nd decile,NA,NA,NA,29,POLI,SocSci
31,3.69,M,WH,0,NA,NA,NA,NA,29,BIOL,NatSci
32,3.51,M,WH,0,NA,NA,NA,NA,30,BIOL,NatSci
33,3.56,F,WH,1-15000,Top 5,NA,NA,NA,30,ANTH,SocSci
34,3.43,M,WH,0,NA,NA,NA,NA,27,PSYC,SocSci
35,2.81,M,WH,0,1st decile,660,610,560,28,HISP,Humanities
36,3.76,M,WH,0,NA,NA,NA,NA,33,GEOL,NatSci
37,3.68,F,AS,0,3rd decile,680,630,690,NA,MUSI,Arts
38,3.68,M,WH,0,NA,690,710,710,NA,ENGL,Humanities
39,3.57,F,WH,0,Top 5,NA,NA,NA,33,BIOL,NatSci
40,3.63,F,WH,35000-44999,1st decile,660,670,560,32,SOCI,SocSci
41,2.77,M,WH,25000-34999,Top 5,690,750,670,29,GEOG,SocSci
42,3.54,M,WH,15001-24999,3rd decile,610,680,620,NA,ANTH,SocSci
43,3.02,M,WH,1-15000,NA,690,630,590,28,MSCS,NatSci
44,3.74,F,WH,35000-44999,NA,NA,NA,NA,30,HIST,Humanities
45,3.48,F,WH,0,NA,650,630,690,NA,BIOL,NatSci
46,3.57,F,WH,0,NA,NA,NA,NA,29,RELI,Humanities
47,3.78,F,WH,35000-44999,2nd decile,NA,NA,NA,28,PSYC,SocSci
48,3.28,F,WH,0,2nd decile,660,620,680,28,RELI,Humanities
49,3.35,M,WH,1-15000,1st decile,650,690,620,27,ENGL,Humanities
50,3.62,F,WH,0,NA,720,650,790,NA,PSYC,SocSci
51,3.45,M,WH,0,1st decile,790,670,800,32,GERM,Humanities
52,3.94,F,WH,1-15000,NA,800,700,760,NA,CLAS,Humanities
53,3.42,F,HI,25000-34999,Top 5,NA,NA,NA,29,BIOL,NatSci
54,3.76,F,WH,15001-24999,2nd decile,NA,NA,NA,30,THDA,Arts
55,3.48,F,WH,25000-34999,1st decile,NA,NA,NA,32,POLI,SocSci
56,2.81,M,WH,1-15000,3rd decile,720,780,710,32,MSCS,NatSci
57,3.62,F,WH,35000-44999,Top 5,680,580,590,30,GEOG,SocSci
58,3.33,F,WH,35000-44999,NA,640,580,670,NA,GEOG,SocSci
59,3.6,F,WH,1-15000,3rd decile,650,610,720,NA,ECON,SocSci
60,3.51,M,WH,0,NA,690,710,670,33,GEOL,NatSci
61,3.65,M,WH,35000-44999,Top 5,NA,NA,NA,30,GEOG,SocSci
62,3.28,M,WH,0,3rd decile,720,630,660,NA,ENGL,Humanities
63,3.56,F,WH,0,NA,NA,NA,NA,29,INTL,SocSci
64,3.43,M,WH,0,NA,NA,NA,NA,33,ENGL,Humanities
65,3.39,M,WH,0,2nd decile,700,680,650,31,PHIL,Humanities
66,3.67,F,WH,0,Top 5,NA,NA,NA,32,ANTH,SocSci
67,3.65,M,WH,35000-44999,1st decile,660,550,540,33,SOCI,SocSci
68,3.58,F,WH,0,NA,690,650,780,NA,POLI,SocSci
69,3.62,F,WH,1-15000,1st decile,NA,NA,NA,29,ENVI,NatSci
70,3.44,M,WH,0,2nd decile,680,500,740,26,HIST,Humanities
71,3.3,M,WH,0,NA,660,590,560,NA,GEOG,SocSci
72,3.94,F,WH,1-15000,Top 5,690,660,770,NA,WGSS,Humanities
73,3.38,F,WH,15001-24999,Top 5,NA,NA,NA,30,INTL,SocSci
74,3.69,F,MR,0,NA,690,660,700,29,GEOG,SocSci
75,3.32,M,WH,15001-24999,2nd decile,NA,NA,NA,28,BIOL,NatSci
76,2.33,M,WH,0,NA,NA,NA,NA,29,POLI,SocSci
77,3.05,M,WH,0,NA,640,720,620,NA,BIOL,NatSci
78,3.25,M,WH,0,NA,NA,NA,NA,25,PSYC,SocSci
79,3.56,F,WH,0,2nd decile,NA,NA,NA,27,HISP,Humanities
80,3.66,M,WH,35000-44999,NA,NA,NA,NA,28,GEOL,NatSci
81,3.66,F,WH,0,NA,760,620,710,32,CLAS,Humanities
82,3.43,F,WH,25000-34999,Top 5,NA,NA,NA,31,POLI,SocSci
83,3.63,F,WH,0,2nd decile,NA,NA,NA,28,ART,Arts
84,3.27,M,MR,1-15000,2nd decile,700,590,770,30,EDU,SocSci
85,3.5,F,WH,15001-24999,NA,740,640,730,NA,MUSI,Arts
86,3.69,M,HI,0,1st decile,800,640,630,NA,POLI,SocSci
87,3.44,M,AS,15001-24999,Top 5,760,800,680,NA,HIST,Humanities
88,3.96,M,WH,15001-24999,Top 5,NA,NA,NA,31,MSCS,NatSci
89,3.49,F,WH,1-15000,2nd decile,680,690,740,NA,GEOL,NatSci
90,3.64,F,WH,35000-44999,NA,690,730,730,32,ANTH,SocSci
91,3.82,F,WH,25000-34999,NA,690,670,620,30,BIOL,NatSci
92,1.68,F,WH,15001-24999,NA,800,590,770,NA,EDU,SocSci
93,3.05,F,WH,0,NA,560,550,600,NA,CLAS,Humanities
94,3.18,F,WH,0,2nd decile,760,550,670,31,ASIA,Humanities
95,2.08,M,WH,15001-24999,Top 5,NA,NA,NA,28,BIOL,NatSci
96,3.39,F,WH,35000-44999,2nd decile,NA,NA,NA,28,BIOL,NatSci
97,3.35,M,WH,15001-24999,3rd decile,NA,NA,NA,30,ENGL,Humanities
98,3.65,M,AS,35000-44999,Top 5,NA,NA,NA,27,POLI,SocSci
99,3.83,F,WH,25000-34999,Top 5,660,660,610,NA,ECON,SocSci
100,3.14,F,WH,35000-44999,1st decile,NA,NA,NA,28,GEOL,NatSci
101,3.82,F,WH,0,1st decile,NA,NA,NA,30,GEOG,SocSci
102,3.41,F,HI,15001-24999,NA,520,530,580,NA,POLI,SocSci
103,3.33,M,WH,25000-34999,1st decile,600,710,650,30,CHEM,NatSci
104,3.7,F,HI,35000-44999,1st decile,670,600,660,NA,ENGL,Humanities
105,2.02,M,BL,35000-44999,NA,670,650,630,NA,PSYC,SocSci
106,2.51,M,WH,35000-44999,2nd decile,620,610,580,24,ECON,SocSci
107,3.22,M,WH,0,2nd decile,NA,NA,NA,30,ENVI,NatSci
108,3.62,F,BL,35000-44999,2nd decile,NA,NA,NA,22,AMST,Humanities
109,3.91,M,WH,0,NA,660,630,660,NA,SOCI,SocSci
110,3.27,F,WH,25000-34999,1st decile,NA,NA,NA,30,BIOL,NatSci
111,3.32,F,WH,25000-34999,1st decile,NA,NA,NA,29,ENVI,NatSci
112,3.64,F,WH,0,2nd decile,670,570,660,28,BIOL,NatSci
113,3.18,F,WH,25000-34999,Top 5,NA,NA,NA,25,CHEM,NatSci
114,3.3,F,WH,15001-24999,NA,NA,NA,NA,25,PSYC,SocSci
115,3.77,M,WH,25000-34999,Top 5,NA,NA,NA,31,HIST,Humanities
116,3.53,F,WH,35000-44999,Top 5,NA,NA,NA,29,BIOL,NatSci
117,3.03,F,WH,35000-44999,Top 5,NA,NA,NA,28,BIOL,NatSci
118,3.52,F,WH,35000-44999,NA,720,680,650,35,ECON,SocSci
119,3.73,F,WH,25000-34999,Top 5,680,610,750,33,GEOG,SocSci
120,3.25,F,MR,1-15000,NA,540,670,530,27,ANTH,SocSci
121,3.01,M,WH,0,NA,740,670,640,NA,GEOL,NatSci
122,3.93,F,WH,15001-24999,Top 5,NA,NA,NA,31,ENGL,Humanities
123,3.97,F,WH,1-15000,Top 5,800,750,780,34,HISP,Humanities
124,3.54,M,WH,0,3rd decile,650,720,590,NA,ECON,SocSci
125,3.81,F,WH,0,NA,NA,NA,NA,32,BIOL,NatSci
126,3.43,F,WH,35000-44999,NA,NA,NA,NA,31,ANTH,SocSci
127,3.73,F,WH,0,1st decile,NA,NA,NA,31,THDA,Arts
128,3.58,F,HI,1-15000,NA,NA,NA,NA,28,ANTH,SocSci
129,3.37,F,MR,25000-34999,1st decile,570,510,700,25,MUSI,Arts
130,3.59,F,WH,35000-44999,Top 5,750,660,740,NA,GERM,Humanities
131,3.89,F,WH,35000-44999,Top 5,720,750,730,33,BIOL,NatSci
132,3.44,M,WH,35000-44999,2nd decile,800,730,750,NA,ENGL,Humanities
133,3.07,F,HI,35000-44999,NA,NA,NA,NA,32,NEUR,NatSci
134,3.88,F,WH,15001-24999,Top 5,670,730,710,35,HISP,Humanities
135,3.62,F,HI,35000-44999,2nd decile,650,510,640,30,CLAS,Humanities
136,3.47,F,WH,25000-34999,Top 5,800,700,760,NA,PSYC,SocSci
137,3.3,F,WH,25000-34999,Top 5,700,620,630,32,ENGL,Humanities
138,3.41,F,WH,15001-24999,2nd decile,NA,NA,NA,33,MUSI,Arts
139,3.55,F,WH,35000-44999,Top 5,NA,NA,NA,33,HISP,Humanities
140,3.58,M,WH,35000-44999,1st decile,770,690,620,NA,PSYC,SocSci
141,3.82,F,MR,15001-24999,Top 5,740,610,660,29,MUSI,Arts
142,3.44,F,WH,15001-24999,2nd decile,800,590,730,31,ANTH,SocSci
143,2.87,M,WH,35000-44999,Top 5,NA,NA,NA,30,ENGL,Humanities
144,3.31,F,WH,0,Top 5,670,650,710,NA,BIOL,NatSci
145,3.1,F,WH,1-15000,2nd decile,760,700,660,32,RUSS,Humanities
146,3.76,F,MR,35000-44999,3rd decile,NA,NA,NA,31,ENGL,Humanities
147,3.92,F,WH,35000-44999,Top 5,NA,NA,NA,33,POLI,SocSci
148,3.7,F,WH,15001-24999,Top 5,NA,NA,NA,32,BIOL,NatSci
149,3.27,M,WH,1-15000,3rd decile,640,610,660,29,MCST,Humanities
150,3.81,M,WH,15001-24999,NA,800,690,790,NA,ENGL,Humanities
151,3.21,F,WH,25000-34999,Top 5,NA,NA,NA,27,CHEM,NatSci
152,3.51,F,AS,35000-44999,Top 5,NA,NA,NA,24,PSYC,SocSci
153,3.91,F,WH,0,NA,750,640,700,29,ENGL,Humanities
154,3.76,F,WH,35000-44999,Top 5,NA,NA,NA,33,PSYC,SocSci
155,3.97,M,WH,1-15000,1st decile,NA,NA,NA,30,PHYS,NatSci
156,3.46,M,WH,0,Top 5,NA,NA,NA,31,GEOG,SocSci
157,3.79,F,WH,15001-24999,Top 5,800,770,600,34,ECON,SocSci
158,3.79,F,WH,1-15000,Top 5,630,690,630,33,BIOL,NatSci
159,3.91,F,WH,1-15000,Top 5,800,710,800,35,GEOL,NatSci
160,3.58,F,WH,1-15000,1st decile,NA,NA,NA,32,BIOL,NatSci
161,3.1,M,WH,0,6th decile,760,680,740,NA,HIST,Humanities
162,3.87,F,WH,1-15000,Top 5,NA,NA,NA,29,CLAS,Humanities
163,3.3,F,WH,0,Top 5,650,700,660,29,GEOG,SocSci
164,3.8,F,WH,1-15000,Top 5,720,650,800,32,PSYC,SocSci
165,3.74,M,WH,0,2nd decile,NA,NA,NA,33,MSCS,NatSci
166,3.79,F,WH,15001-24999,Top 5,800,630,710,NA,ENGL,Humanities
167,3.74,M,WH,15001-24999,Top 5,800,800,800,35,ENGL,Humanities
168,3.7,M,WH,15001-24999,1st decile,740,770,760,34,ART,Arts
169,3.93,F,WH,1-15000,1st decile,670,740,700,32,LING,SocSci
170,3.67,F,WH,15001-24999,NA,650,680,700,NA,WGSS,Humanities
171,3.2,M,WH,25000-34999,NA,760,760,790,34,ECON,SocSci
172,3.5,M,WH,1-15000,NA,NA,NA,NA,35,POLI,SocSci
173,3.84,F,WH,35000-44999,4th decile,700,700,730,33,INTL,SocSci
174,3.93,F,WH,25000-34999,Top 5,800,680,800,30,PSYC,SocSci
175,3.55,F,WH,25000-34999,3rd decile,670,660,670,NA,GEOL,NatSci
176,3.41,F,WH,35000-44999,1st decile,NA,NA,NA,30,BIOL,NatSci
177,3.83,M,WH,0,NA,720,580,680,NA,ENGL,Humanities
178,3.61,F,WH,0,Top 5,NA,NA,NA,30,BIOL,NatSci
179,3.84,M,WH,35000-44999,3rd decile,760,680,700,34,PHIL,Humanities
180,3.35,M,WH,0,Top 5,690,740,670,NA,BIOL,NatSci
181,3.41,F,WH,25000-34999,1st decile,NA,NA,NA,31,ENGL,Humanities
182,3.79,F,WH,1-15000,Top 5,640,600,580,31,PSYC,SocSci
183,3.76,F,WH,25000-34999,Top 5,NA,NA,NA,30,ECON,SocSci
184,3.56,F,WH,25000-34999,NA,640,630,700,29,RELI,Humanities
185,3.35,M,HI,1-15000,NA,NA,NA,NA,34,JAPA,Humanities
186,2.97,M,WH,35000-44999,2nd decile,650,690,700,NA,PSYC,SocSci
187,2.89,M,WH,35000-44999,1st decile,620,620,560,NA,PSYC,SocSci
188,3.45,F,WH,25000-34999,Top 5,NA,NA,NA,30,PSYC,SocSci
189,3.43,F,WH,25000-34999,Top 5,NA,NA,NA,30,ECON,SocSci
190,3.34,F,WH,0,Top 5,640,750,590,NA,GEOL,NatSci
191,3.57,F,WH,15001-24999,2nd decile,NA,NA,NA,32,ENGL,Humanities
192,3.67,F,WH,35000-44999,2nd decile,NA,NA,NA,30,BIOL,NatSci
193,2.97,M,WH,25000-34999,1st decile,NA,NA,NA,32,BIOL,NatSci
194,3.57,F,WH,1-15000,Top 5,740,710,650,31,GEOG,SocSci
195,3.72,F,WH,0,Top 5,NA,NA,NA,28,HIST,Humanities
196,2.99,F,AS,35000-44999,1st decile,640,670,570,NA,ECON,SocSci
197,2.98,F,WH,25000-34999,Top 5,630,610,660,NA,BIOL,NatSci
198,3.84,F,WH,1-15000,Top 5,760,620,690,31,ENGL,Humanities
199,3.07,M,WH,35000-44999,2nd decile,710,780,700,NA,PHIL,Humanities
200,3.37,F,WH,15001-24999,Top 5,NA,NA,NA,31,BIOL,NatSci
201,3.19,M,WH,0,NA,800,750,750,NA,ENGL,Humanities
202,3.59,F,WH,0,1st decile,NA,NA,NA,34,ENVI,NatSci
203,3.42,F,WH,0,NA,NA,NA,NA,30,LING,SocSci
204,3.1,M,HI,15001-24999,NA,800,690,730,NA,PHIL,Humanities
205,3.69,F,WH,25000-34999,Top 5,720,720,700,31,BIOL,NatSci
206,3.32,F,WH,25000-34999,Top 5,NA,NA,NA,29,INTL,SocSci
207,3.48,F,WH,25000-34999,Top 5,660,750,660,NA,MCST,Humanities
208,3.5,F,HI,1-15000,NA,640,620,550,33,GEOG,SocSci
209,3.27,M,WH,0,NA,630,660,630,31,SOCI,SocSci
210,3.73,M,HI,35000-44999,Top 5,660,800,650,34,PSYC,SocSci
211,3.94,M,WH,1-15000,Top 5,NA,NA,NA,33,MUSI,Arts
212,3.45,F,WH,25000-34999,NA,800,680,770,NA,MSCS,NatSci
213,3.59,F,WH,0,NA,NA,NA,NA,31,PSYC,SocSci
214,2.96,F,WH,35000-44999,4th decile,560,620,540,27,CLAS,Humanities
215,3.16,M,AS,35000-44999,Top 5,NA,NA,NA,29,POLI,SocSci
216,3.15,M,NR,25000-34999,NA,610,700,650,NA,BIOL,NatSci
217,3.44,F,WH,15001-24999,NA,650,630,620,NA,ENGL,Humanities
218,3.96,F,WH,35000-44999,NA,740,700,800,NA,PSYC,SocSci
219,3.99,F,WH,1-15000,Top 5,800,720,800,NA,CLAS,Humanities
220,3.01,F,AS,35000-44999,2nd decile,NA,NA,NA,23,BIOL,NatSci
221,3.6,M,NR,25000-34999,Top 5,680,590,570,NA,ECON,SocSci
222,3.54,F,WH,1-15000,2nd decile,730,710,770,NA,ENVI,NatSci
223,3.42,M,WH,25000-34999,3rd decile,NA,NA,NA,31,POLI,SocSci
224,3.85,F,WH,35000-44999,Top 5,720,750,800,33,ECON,SocSci
225,3.77,M,WH,0,NA,700,650,750,NA,ART,Arts
226,3.72,M,WH,25000-34999,NA,NA,NA,NA,30,CHEM,NatSci
227,3.79,F,WH,1-15000,Top 5,670,680,730,NA,ENGL,Humanities
228,3.69,M,WH,0,Top 5,690,740,600,33,ECON,SocSci
229,3.07,M,HI,35000-44999,2nd decile,540,650,550,24,POLI,SocSci
230,3.7,M,WH,1-15000,2nd decile,720,640,720,29,ENGL,Humanities
231,3.35,F,HI,1-15000,1st decile,NA,NA,NA,31,ANTH,SocSci
232,3.92,F,WH,35000-44999,NA,770,690,750,NA,ENGL,Humanities
233,2.87,M,NR,0,NA,650,670,450,NA,MSCS,NatSci
234,3.63,F,HI,25000-34999,NA,NA,NA,NA,23,AMST,Humanities
235,3.51,M,WH,0,1st decile,NA,NA,NA,29,GERM,Humanities
236,2.3,M,WH,15001-24999,Top 5,580,760,590,30,BIOL,NatSci
237,3.57,F,WH,0,2nd decile,660,670,700,NA,ENGL,Humanities
238,3.48,M,HI,35000-44999,2nd decile,NA,NA,NA,27,AMST,Humanities
239,3.65,M,WH,25000-34999,1st decile,720,680,770,NA,MUSI,Arts
