date,season,year,month,day_of_week,weekend,holiday,temp_actual,temp_feel,humidity,windspeed,weather_cat,riders_casual,riders_registered,riders_total
2011-01-01,winter,2011,Jan,Sat,TRUE,no,57.3995246,64.72625,0.805833,10.749882,categ2,331,654,985
2011-01-02,winter,2011,Jan,Sun,TRUE,no,58.8246764,63.836510000000004,0.696087,16.652113,categ2,131,670,801
2011-01-03,winter,2011,Jan,Mon,FALSE,no,46.491663200000005,49.04645,0.437273,16.636703,categ1,120,1229,1349
2011-01-04,winter,2011,Jan,Tue,FALSE,no,46.760000000000005,51.09098,0.590435,10.739832,categ1,108,1454,1562
2011-01-05,winter,2011,Jan,Wed,FALSE,no,48.7494266,52.634299999999996,0.436957,12.522300000000001,categ1,82,1518,1600
2011-01-06,winter,2011,Jan,Thu,FALSE,no,47.0808824,52.98881,0.518261,6.0008684,categ1,88,1518,1606
2011-01-07,winter,2011,Jan,Fri,FALSE,no,46.5033236,50.79551,0.498696,11.304642,categ2,148,1362,1510
2011-01-08,winter,2011,Jan,Sat,TRUE,no,44.177,46.60286,0.535833,17.875868,categ2,68,891,959
2011-01-09,winter,2011,Jan,Sun,TRUE,no,42.2089754,42.45575,0.434167,24.25065,categ1,54,768,822
2011-01-10,winter,2011,Jan,Mon,FALSE,no,43.1314754,45.57992,0.482917,14.958889,categ1,41,1280,1321
2011-01-11,winter,2011,Jan,Tue,FALSE,no,44.478915799999996,49.23176,0.686364,8.182844000000001,categ2,43,1220,1263
2011-01-12,winter,2011,Jan,Wed,FALSE,no,44.747252599999996,46.44257,0.599545,20.410009,categ1,25,1137,1162
2011-01-13,winter,2011,Jan,Thu,FALSE,no,44.177,45.57947,0.470417,20.166999999999998,categ1,38,1368,1406
2011-01-14,winter,2011,Jan,Fri,FALSE,no,43.872206,48.957170000000005,0.537826,8.478716,categ1,54,1367,1421
2011-01-15,winter,2011,Jan,Sat,TRUE,no,49.2199754,54.330079999999995,0.49875,10.583521,categ2,222,1026,1248
2011-01-16,winter,2011,Jan,Sun,TRUE,no,49.0970246,53.079530000000005,0.48375,12.625010999999999,categ1,251,953,1204
2011-01-17,winter,2011,Jan,Mon,FALSE,yes,44.9764754,47.90939,0.5375,12.999139,categ2,117,883,1000
2011-01-18,winter,2011,Jan,Tue,FALSE,no,47.9900246,52.90997,0.861667,9.833924999999999,categ2,9,674,683
2011-01-19,winter,2011,Jan,Wed,FALSE,no,53.5624412,58.85798,0.741739,13.957239,categ2,78,1572,1650
2011-01-20,winter,2011,Jan,Thu,FALSE,no,51.311024599999996,54.954499999999996,0.538333,13.125568,categ2,83,1844,1927
2011-01-21,winter,2011,Jan,Fri,FALSE,no,45.0995,46.20497,0.457083,23.667214,categ1,75,1468,1543
2011-01-22,winter,2011,Jan,Sat,TRUE,no,36.36382352,39.116264,0.4,11.52199,categ1,93,888,981
2011-01-23,winter,2011,Jan,Sun,TRUE,no,39.12330146,40.895519,0.436522,16.5222,categ1,150,836,986
2011-01-24,winter,2011,Jan,Mon,FALSE,no,39.18747794,42.6137,0.491739,10.60811,categ1,86,1330,1416
2011-01-25,winter,2011,Jan,Tue,FALSE,no,48.4926764,53.10734,0.616957,8.696332,categ2,186,1799,1985
2011-01-26,winter,2011,Jan,Wed,FALSE,no,48.051500000000004,50.324,0.8625,19.68795,categ3,34,472,506
2011-01-27,winter,2011,Jan,Thu,FALSE,no,46.391,51.772999999999996,0.6875,7.627078999999999,categ1,15,416,431
2011-01-28,winter,2011,Jan,Fri,FALSE,no,47.016676399999994,52.09853,0.793043,8.2611,categ2,38,1129,1167
2011-01-29,winter,2011,Jan,Sat,TRUE,no,46.5033236,51.09134,0.651739,9.739455,categ1,123,975,1098
2011-01-30,winter,2011,Jan,Sun,TRUE,no,47.9793236,54.528980000000004,0.722174,4.956834199999999,categ1,140,956,1096
2011-01-31,winter,2011,Jan,Mon,FALSE,no,45.3454754,48.7625,0.60375,12.541864,categ2,42,1459,1501
2011-02-01,winter,2011,Feb,Tue,FALSE,no,46.1824412,53.1077,0.829565,3.565271,categ2,47,1313,1360
2011-02-02,winter,2011,Feb,Wed,FALSE,no,51.188,54.89753,0.775417,17.708636,categ2,72,1454,1526
2011-02-03,winter,2011,Feb,Thu,FALSE,no,45.7974266,48.00902,0.437826,18.609384,categ1,61,1489,1550
2011-02-04,winter,2011,Feb,Fri,FALSE,no,47.5942352,52.57283,0.585217,8.565213,categ2,88,1620,1708
2011-02-05,winter,2011,Feb,Sat,TRUE,no,49.2199754,53.87522,0.929167,10.792293,categ2,100,905,1005
2011-02-06,winter,2011,Feb,Sun,TRUE,no,53.0944754,58.25039,0.568333,9.5006,categ1,354,1269,1623
2011-02-07,winter,2011,Feb,Mon,FALSE,no,52.049024599999996,59.32922,0.738333,3.0423561,categ1,120,1592,1712
2011-02-08,winter,2011,Feb,Tue,FALSE,no,48.297475399999996,49.84214,0.537917,24.25065,categ1,64,1466,1530
2011-02-09,winter,2011,Feb,Wed,FALSE,no,41.9469854,44.98547,0.494783,12.652213,categ2,53,1552,1605
2011-02-10,winter,2011,Feb,Thu,FALSE,no,42.6528824,45.45932,0.437391,14.869645,categ1,47,1491,1538
2011-02-11,winter,2011,Feb,Fri,FALSE,no,45.9549158,51.215810000000005,0.506364,7.272849999999999,categ1,149,1597,1746
2011-02-12,winter,2011,Feb,Sat,TRUE,no,48.420500000000004,52.965860000000006,0.544167,13.625589,categ1,288,1184,1472
2011-02-13,winter,2011,Feb,Sun,TRUE,no,55.3593236,61.17017,0.457391,17.479160999999998,categ1,397,1192,1589
2011-02-14,winter,2011,Feb,Mon,FALSE,no,62.627,67.8515,0.375833,27.999836,categ1,208,1705,1913
2011-02-15,winter,2011,Feb,Tue,FALSE,no,51.637220600000006,54.88466,0.314348,19.522058,categ1,140,1675,1815
2011-02-16,winter,2011,Feb,Wed,FALSE,no,55.4876618,60.458,0.423478,16.869996999999998,categ1,218,1897,2115
2011-02-17,winter,2011,Feb,Thu,FALSE,no,64.1644754,70.57921999999999,0.505,15.416968,categ1,259,2216,2475
2011-02-18,winter,2011,Feb,Fri,FALSE,no,70.4990246,78.07847,0.516667,17.749975000000003,categ1,579,2348,2927
2011-02-19,winter,2011,Feb,Sat,TRUE,no,61.4585246,67.22636,0.187917,34.000021,categ1,532,1103,1635
2011-02-20,winter,2011,Feb,Sun,TRUE,no,53.0490146,56.9597,0.407826,14.956745,categ1,639,1173,1812
2011-02-21,winter,2011,Feb,Mon,FALSE,yes,54.38597540000001,57.56675,0.605,20.625682,categ2,195,912,1107
2011-02-22,winter,2011,Feb,Tue,FALSE,no,45.4479836,48.74297,0.577778,13.110761,categ1,74,1376,1450
2011-02-23,winter,2011,Feb,Wed,FALSE,no,48.3643382,54.11453,0.423043,6.3055710000000005,categ1,139,1778,1917
2011-02-24,winter,2011,Feb,Thu,FALSE,no,53.8191176,58.02719,0.697391,16.783231999999998,categ2,100,1707,1807
2011-02-25,winter,2011,Feb,Fri,FALSE,no,58.8888824,63.54149,0.712174,23.218113,categ2,120,1341,1461
2011-02-26,winter,2011,Feb,Sat,TRUE,no,52.8485,57.39728,0.537917,12.500257,categ1,424,1545,1969
2011-02-27,winter,2011,Feb,Sun,TRUE,no,57.3486764,63.599810000000005,0.68,8.391615999999999,categ1,694,1708,2402
2011-02-28,winter,2011,Feb,Mon,FALSE,no,62.0567474,68.01061999999999,0.876364,19.408962,categ2,81,1365,1446
2011-03-01,winter,2011,Mar,Tue,FALSE,no,51.680024599999996,55.74911,0.535,14.500475,categ1,137,1714,1851
2011-03-02,winter,2011,Mar,Wed,FALSE,no,56.723,60.80639,0.449583,20.624811,categ1,231,1903,2134
2011-03-03,winter,2011,Mar,Thu,FALSE,no,46.6369754,50.011970000000005,0.318333,15.125518000000001,categ1,123,1562,1685
2011-03-04,winter,2011,Mar,Fri,FALSE,no,51.311024599999996,55.01111,0.610417,13.624182,categ2,214,1730,1944
2011-03-05,winter,2011,Mar,Sat,TRUE,no,60.3515246,66.09011,0.789167,16.875357,categ2,640,1437,2077
2011-03-06,winter,2011,Mar,Sun,TRUE,no,59.7873236,64.96268,0.948261,23.000229,categ2,114,491,605
2011-03-07,winter,2011,Mar,Mon,FALSE,no,51.316338200000004,53.46149,0.551304,22.870584,categ1,244,1628,1872
2011-03-08,winter,2011,Mar,Tue,FALSE,no,53.5865,59.216,0.420833,8.083549999999999,categ1,316,1817,2133
2011-03-09,winter,2011,Mar,Wed,FALSE,no,53.8324754,57.79472,0.775417,14.750050000000002,categ2,191,1700,1891
2011-03-10,winter,2011,Mar,Thu,FALSE,no,60.7149158,66.71012,0,17.545759,categ3,46,577,623
2011-03-11,winter,2011,Mar,Fri,FALSE,no,55.3593236,59.45,0.649565,15.60899,categ2,247,1730,1977
2011-03-12,winter,2011,Mar,Sat,TRUE,no,56.2925246,61.317499999999995,0.594583,14.791924999999999,categ1,724,1408,2132
2011-03-13,winter,2011,Mar,Sun,TRUE,no,60.3648824,66.20819,0.527391,18.130468,categ1,982,1435,2417
2011-03-14,winter,2011,Mar,Mon,FALSE,no,56.0010146,61.88,0.496957,9.174042,categ1,359,1687,2046
2011-03-15,winter,2011,Mar,Tue,FALSE,no,55.4234558,60.63602,0.655652,12.348703,categ2,289,1767,2056
2011-03-16,winter,2011,Mar,Wed,FALSE,no,58.9530146,65.02369999999999,0.776522,13.608839,categ2,321,1871,2192
2011-03-17,winter,2011,Mar,Thu,FALSE,no,62.627,68.92997,0.602917,14.041792999999998,categ1,424,2320,2744
2011-03-18,winter,2011,Mar,Fri,FALSE,no,71.852,79.43081000000001,0.525217,15.478139,categ1,884,2355,3239
2011-03-19,winter,2011,Mar,Sat,TRUE,no,66.87049999999999,73.98725,0.379167,24.667189,categ1,1424,1693,3117
2011-03-20,winter,2011,Mar,Sun,TRUE,no,56.5385,61.317499999999995,0.47375,13.917307,categ1,1047,1424,2471
2011-03-21,spring,2011,Mar,Mon,FALSE,no,63.766103,68.87615,0.737391,19.348461,categ2,401,1676,2077
2011-03-22,spring,2011,Mar,Tue,FALSE,no,64.59502459999999,71.65778,0.624583,15.125250000000001,categ1,460,2243,2703
2011-03-23,spring,2011,Mar,Wed,FALSE,no,57.6054266,62.41451,0.839565,15.695487,categ2,203,1918,2121
2011-03-24,spring,2011,Mar,Thu,FALSE,no,53.033,56.37497,0.805833,16.333729,categ2,166,1699,1865
2011-03-25,spring,2011,Mar,Fri,FALSE,no,51.495524599999996,55.06808,0.495,15.458575000000002,categ1,300,1910,2210
2011-03-26,spring,2011,Mar,Sat,TRUE,no,51.6184754,55.18139,0.394167,14.041257,categ1,981,1515,2496
2011-03-27,spring,2011,Mar,Sun,TRUE,no,50.6745734,54.53051,0.493913,12.348099999999999,categ2,472,1221,1693
2011-03-28,spring,2011,Mar,Mon,FALSE,no,51.508882400000005,55.18166000000001,0.302174,14.217668,categ1,222,1806,2028
2011-03-29,spring,2011,Mar,Tue,FALSE,no,54.3245,58.361720000000005,0.314167,15.208732,categ1,317,2108,2425
2011-03-30,spring,2011,Mar,Wed,FALSE,no,54.14,58.7615,0.646667,11.583495999999998,categ2,168,1368,1536
2011-03-31,spring,2011,Mar,Thu,FALSE,no,51.802975399999994,55.18175,0.918333,14.582282000000001,categ3,179,1506,1685
2011-04-01,spring,2011,Apr,Fri,FALSE,no,54.14,57.510859999999994,0.68625,17.333436,categ2,307,1920,2227
2011-04-02,spring,2011,Apr,Sat,TRUE,no,55.247,60.40733,0.65375,13.208782,categ2,898,1354,2252
2011-04-03,spring,2011,Apr,Sun,TRUE,no,59.9209754,66.08903000000001,0.48,12.208271000000002,categ1,1651,1598,3249
2011-04-04,spring,2011,Apr,Mon,FALSE,no,74.3119754,80.86361,0.42625,25.833257,categ1,734,2381,3115
2011-04-05,spring,2011,Apr,Tue,FALSE,no,62.5655246,67.8515,0.642083,26.000488999999998,categ2,167,1628,1795
2011-04-06,spring,2011,Apr,Wed,FALSE,no,60.8434754,66.88472,0.470833,17.625221,categ1,413,2395,2808
2011-04-07,spring,2011,Apr,Thu,FALSE,no,64.2875,71.03264000000001,0.602917,10.874904,categ1,571,2570,3141
2011-04-08,spring,2011,Apr,Fri,FALSE,no,56.7844754,61.20311000000001,0.83625,15.208464,categ2,172,1299,1471
2011-04-09,spring,2011,Apr,Sat,TRUE,no,57.2765,62.737610000000004,0.8775,8.916561,categ2,879,1576,2455
2011-04-10,spring,2011,Apr,Sun,TRUE,no,63.4880246,70.40633,0.8575,9.833389,categ2,1188,1707,2895
2011-04-11,spring,2011,Apr,Mon,FALSE,no,75.9591176,82.86953,0.716956,21.739758,categ2,855,2493,3348
2011-04-12,spring,2011,Apr,Tue,FALSE,no,69.08449999999999,76.37486,0.739167,18.416892999999998,categ2,257,1777,2034
2011-04-13,spring,2011,Apr,Wed,FALSE,no,62.442499999999995,69.55547000000001,0.819167,16.791338999999997,categ2,209,1953,2162
2011-04-14,spring,2011,Apr,Thu,FALSE,no,66.5015,73.64678,0.540417,7.4169,categ1,529,2738,3267
2011-04-15,spring,2011,Apr,Fri,FALSE,yes,64.9640246,71.77217,0.67125,15.167124999999999,categ1,642,2484,3126
2011-04-16,spring,2011,Apr,Sat,TRUE,no,63.7954754,70.29428,0.888333,22.834136,categ3,121,674,795
2011-04-17,spring,2011,Apr,Sun,TRUE,no,65.7020246,72.11264,0.479583,20.334232,categ1,1558,2186,3744
2011-04-18,spring,2011,Apr,Mon,FALSE,no,69.82249999999999,77.28314,0.5425,10.958988999999999,categ1,669,2760,3429
2011-04-19,spring,2011,Apr,Tue,FALSE,no,69.3304754,76.03322,0.665833,10.584057,categ2,409,2795,3204
2011-04-20,spring,2011,Apr,Wed,FALSE,no,75.911,82.79527999999999,0.614167,16.208975,categ1,613,3331,3944
2011-04-21,spring,2011,Apr,Thu,FALSE,no,65.8865246,72.85028,0.407083,21.792286,categ1,745,3444,4189
2011-04-22,spring,2011,Apr,Fri,FALSE,no,56.8460246,60.97586,0.729583,14.707906999999999,categ2,177,1506,1683
2011-04-23,spring,2011,Apr,Sat,TRUE,no,65.94800000000001,72.51088999999999,0.887917,15.458575000000002,categ2,1462,2574,4036
2011-04-24,spring,2011,Apr,Sun,TRUE,no,74.92702460000001,81.65867,0.810833,12.875725000000001,categ2,1710,2481,4191
2011-04-25,spring,2011,Apr,Mon,FALSE,no,76.77202460000001,83.70500000000001,0.776667,12.417311,categ1,773,3300,4073
2011-04-26,spring,2011,Apr,Tue,FALSE,no,78.6170246,85.46747,0.729167,21.875500000000002,categ1,678,3722,4400
2011-04-27,spring,2011,Apr,Wed,FALSE,no,77.756,83.76278,0.835417,20.917399999999997,categ2,547,3325,3872
2011-04-28,spring,2011,Apr,Thu,FALSE,no,77.57150000000001,84.10361,0.700833,21.500836000000003,categ2,569,3489,4058
2011-04-29,spring,2011,Apr,Fri,FALSE,no,69.638,76.77167,0.457083,16.084221,categ1,878,3717,4595
2011-04-30,spring,2011,Apr,Sat,TRUE,no,66.87049999999999,73.76189000000001,0.503333,15.750025,categ1,1965,3347,5312
2011-05-01,spring,2011,May,Sun,TRUE,no,65.3330246,72.33836,0.762083,7.125718,categ2,1138,2213,3351
2011-05-02,spring,2011,May,Mon,FALSE,no,72.5285246,79.95497,0.73,12.291418,categ2,847,3554,4401
2011-05-03,spring,2011,May,Tue,FALSE,no,77.51002460000001,84.38711,0.697083,22.958689,categ2,603,3848,4451
2011-05-04,spring,2011,May,Wed,FALSE,no,62.5655246,68.4185,0.737083,22.042732,categ2,255,2378,2633
2011-05-05,spring,2011,May,Thu,FALSE,no,65.8865246,71.77252999999999,0.444167,19.791263999999998,categ1,614,3819,4433
2011-05-06,spring,2011,May,Fri,FALSE,no,67.3625246,74.67053000000001,0.59,15.292482,categ1,894,3714,4608
2011-05-07,spring,2011,May,Sat,TRUE,no,70.376,78.13588999999999,0.54125,10.750150000000001,categ1,1612,3102,4714
2011-05-08,spring,2011,May,Sun,TRUE,no,70.9909754,78.70397,0.631667,5.0007125,categ1,1401,2932,4333
2011-05-09,spring,2011,May,Mon,FALSE,no,71.29849999999999,79.27214000000001,0.58875,11.792,categ1,664,3698,4362
2011-05-10,spring,2011,May,Tue,FALSE,no,71.29849999999999,79.04489000000001,0.489167,7.749956999999999,categ1,694,4109,4803
2011-05-11,spring,2011,May,Wed,FALSE,no,72.0365,79.556,0.632917,8.083014,categ1,550,3632,4182
2011-05-12,spring,2011,May,Thu,FALSE,no,71.483,79.10267,0.7475,12.707689,categ1,695,4169,4864
2011-05-13,spring,2011,May,Fri,FALSE,no,69.82249999999999,76.487,0.863333,12.041575,categ2,692,3413,4105
2011-05-14,spring,2011,May,Sat,TRUE,no,70.43747540000001,77.05661,0.9225,9.041649999999999,categ2,902,2507,3409
2011-05-15,spring,2011,May,Sun,TRUE,no,73.5125,80.24000000000001,0.867083,10.249593,categ2,1582,2971,4553
2011-05-16,spring,2011,May,Mon,FALSE,no,74.6195,81.54608,0.787917,8.500357000000001,categ1,773,3185,3958
2011-05-17,spring,2011,May,Tue,FALSE,no,73.45102460000001,80.46761000000001,0.837917,18.582718,categ2,678,3445,4123
2011-05-18,spring,2011,May,Wed,FALSE,no,72.59,79.44422,0.87,13.499964,categ2,536,3319,3855
2011-05-19,spring,2011,May,Thu,FALSE,no,71.17547540000001,77.96678,0.829583,7.250271000000001,categ2,735,3840,4575
2011-05-20,spring,2011,May,Fri,FALSE,no,71.60602460000001,79.61378,0.719583,8.375871,categ1,909,4008,4917
2011-05-21,spring,2011,May,Sat,TRUE,no,76.4645,83.47775,0.626667,8.083549999999999,categ1,2258,3547,5805
2011-05-22,spring,2011,May,Sun,TRUE,no,76.5875246,83.70500000000001,0.749583,9.916536,categ1,1576,3084,4660
2011-05-23,spring,2011,May,Mon,FALSE,no,78.6170246,85.12664000000001,0.81,15.667413999999999,categ2,836,3438,4274
2011-05-24,spring,2011,May,Tue,FALSE,no,80.708,86.43317,0.740833,13.875164,categ2,659,3833,4492
2011-05-25,spring,2011,May,Wed,FALSE,no,80.7694754,87.39878,0.69625,10.333611000000001,categ1,740,4238,4978
2011-05-26,spring,2011,May,Thu,FALSE,no,84.2749754,90.92192,0.6775,13.376014,categ1,758,3919,4677
2011-05-27,spring,2011,May,Fri,FALSE,no,82.3070246,89.33072,0.65375,16.125493,categ1,871,3808,4679
2011-05-28,spring,2011,May,Sat,TRUE,no,80.4004754,87.11411000000001,0.729583,15.416164,categ1,2001,2757,4758
2011-05-29,spring,2011,May,Sun,TRUE,no,81.2615,87.39950000000002,0.81875,14.333846,categ1,2355,2433,4788
2011-05-30,spring,2011,May,Mon,FALSE,yes,86.11997540000002,92.39828,0.685,8.792075,categ1,1549,2549,4098
2011-05-31,spring,2011,May,Tue,FALSE,no,89.19500000000001,97.28447000000001,0.636667,7.459042999999999,categ1,673,3309,3982
2011-06-01,spring,2011,Jun,Wed,FALSE,no,88.3955246,96.88703,0.677083,13.875164,categ2,513,3461,3974
2011-06-02,spring,2011,Jun,Thu,FALSE,no,84.767,89.95478,0.305,19.583229000000003,categ1,736,4232,4968
2011-06-03,spring,2011,Jun,Fri,FALSE,no,77.756,84.84197,0.354167,16.959107,categ1,898,4414,5312
2011-06-04,spring,2011,Jun,Sat,TRUE,no,78.863,85.52264,0.45625,8.250514,categ1,1869,3473,5342
2011-06-05,spring,2011,Jun,Sun,TRUE,no,79.8469754,87.51236,0.6525,9.292364000000001,categ2,1685,3221,4906
2011-06-06,spring,2011,Jun,Mon,FALSE,no,82.0609754,87.96722,0.6,8.167032,categ1,673,3875,4548
2011-06-07,spring,2011,Jun,Tue,FALSE,no,84.21350000000001,91.0355,0.597917,12.583136,categ1,763,4070,4833
2011-06-08,spring,2011,Jun,Wed,FALSE,no,89.2564754,97.45511,0.622083,9.166739,categ1,676,3725,4401
2011-06-09,spring,2011,Jun,Thu,FALSE,no,91.6549754,100.18211000000001,0.568333,10.042161,categ2,563,3352,3915
2011-06-10,spring,2011,Jun,Fri,FALSE,no,87.719,95.29628,0.605,9.417118,categ1,815,3771,4586
2011-06-11,spring,2011,Jun,Sat,TRUE,no,85.505,93.02342000000002,0.654583,10.374949999999998,categ1,1729,3237,4966
2011-06-12,spring,2011,Jun,Sun,TRUE,no,83.10650000000001,89.89925000000001,0.747917,10.958988999999999,categ1,1467,2993,4460
2011-06-13,spring,2011,Jun,Mon,FALSE,no,78.863,86.14886000000001,0.494583,20.45845,categ1,863,4157,5020
2011-06-14,spring,2011,Jun,Tue,FALSE,no,76.5875246,85.23914,0.507083,18.041961,categ1,727,4164,4891
2011-06-15,spring,2011,Jun,Wed,FALSE,no,78.24802460000001,84.89786000000001,0.471667,11.250104,categ1,769,4411,5180
2011-06-16,spring,2011,Jun,Thu,FALSE,no,78.3709754,85.58114,0.688333,13.833556999999999,categ2,545,3222,3767
2011-06-17,spring,2011,Jun,Fri,FALSE,no,79.9085246,86.03447,0.735833,9.582942999999998,categ1,863,3981,4844
2011-06-18,spring,2011,Jun,Sat,TRUE,no,83.4140246,89.95586,0.670417,8.000336,categ1,1807,3312,5119
2011-06-19,spring,2011,Jun,Sun,TRUE,no,83.59852459999999,90.12614,0.666667,6.834,categ2,1639,3105,4744
2011-06-20,spring,2011,Jun,Mon,FALSE,no,78.863,85.58114,0.74625,10.416825,categ2,699,3311,4010
2011-06-21,summer,2011,Jun,Tue,FALSE,no,82.2454754,89.38813999999999,0.770417,11.458675000000001,categ2,774,4061,4835
2011-06-22,summer,2011,Jun,Wed,FALSE,no,86.11997540000002,94.44461000000001,0.7075,11.541554,categ1,661,3846,4507
2011-06-23,summer,2011,Jun,Thu,FALSE,no,85.7509754,94.44497000000001,0.703333,15.999868,categ2,746,4044,4790
2011-06-24,summer,2011,Jun,Fri,FALSE,no,85.4435246,91.09246999999999,0.573333,14.875675,categ1,969,4022,4991
2011-06-25,summer,2011,Jun,Sat,TRUE,no,83.291,89.89817,0.483333,14.041257,categ1,1782,3420,5202
2011-06-26,summer,2011,Jun,Sun,TRUE,no,82.184,89.38661,0.513333,6.3337311,categ1,1920,3385,5305
2011-06-27,summer,2011,Jun,Mon,FALSE,no,82.3685,89.33036000000001,0.658333,7.2083960000000005,categ2,854,3854,4708
2011-06-28,summer,2011,Jun,Tue,FALSE,no,86.9195246,94.33022,0.634167,9.666960999999999,categ1,732,3916,4648
2011-06-29,summer,2011,Jun,Wed,FALSE,no,85.7509754,90.92192,0.497917,17.542007,categ1,848,4377,5225
2011-06-30,summer,2011,Jun,Thu,FALSE,no,83.4140246,89.33072,0.434167,12.415904000000001,categ1,1027,4488,5515
