Timestamp,How many hours of sleep did you get last night?,How many cups of coffee did you drink this morning? ,"What is your declared or potential major? (If you are a double major, just write whichever one you think of first.)",What is your anticipated graduation year?,How many stats courses have you taken in the past?,Have you used R or RStudio before? ,"On a scale of 1 to 10, how excited are you about this class?",When is your birthday?,How many unread emails do you have in your inbox right now?
8/26/2021 20:10:33,6.5,3,math,2014,24,"Yes, a lot",10,Not during this semester,5
9/4/2021 13:13:36,7,0,Computer Science,2025,0,"No, never",10,Not during this semester,102
9/6/2021 0:07:47,8,0,econ,2025,0,"Yes, a little",8,During this semester,0
9/6/2021 16:29:27,8,0,math,2024,0,"Yes, a little",8,Not during this semester,3
9/7/2021 23:05:20,7,0,Math,2022,0,"No, never",5,During this semester,0
9/8/2021 8:26:24,7,0,Biology,2023,0,"Yes, a little",4,Not during this semester,0
9/8/2021 8:45:41,5,0,Physics,2023,1,"Yes, a little",6,Not during this semester,9
9/8/2021 8:45:44,2,0,Economics and Computer Science,2024,0,"Yes, a little",8,During this semester,0
9/8/2021 8:46:01,6,0.5,Economics,2023,1,"Yes, a lot",7,Not during this semester,2000
9/8/2021 8:46:05,7,0,Economics,2024,1,"No, never",10,During this semester,5
9/8/2021 8:46:28,6,0,Undecided,2025,1,"No, never",8,Not during this semester,1
9/8/2021 8:46:52,8,0,Media & Cultural Studies,2023,0,"Yes, a little",7,During this semester,2
9/8/2021 8:47:27,7,0,Geology,2024,0,"No, never",8,Not during this semester,3
9/8/2021 8:47:38,8,0,Economics,2025,1,"No, never",7,Not during this semester,148
9/8/2021 8:47:42,7,0,Neuroscience,2023,1,"Yes, a little",7,During this semester,5
9/8/2021 8:47:56,7,0,Political Science,2023,1,"Yes, a little",5,Not during this semester,280
9/8/2021 8:48:29,5,0,Biology (Biochemistry emphasis),2023,1,"Yes, a little",8,Not during this semester,12120
9/8/2021 8:48:31,7,0,Biology,2025,1,"No, never",4,Not during this semester,60
9/8/2021 8:48:42,7,0,International Studies,2023,0,"Yes, a little",3,Not during this semester,0
9/8/2021 8:49:01,6,0,Economics,2024,0,"No, never",5,During this semester,694
9/8/2021 8:49:02,7,1,Economics,2024,1,"No, never",8,Not during this semester,0
9/8/2021 8:49:08,5,0,Economics,2025,1,"No, never",7,Not during this semester,51
9/8/2021 8:49:11,7,0,Biology,2022,1,"Yes, a little",8,Not during this semester,8
9/8/2021 8:49:21,7.5,0,undecided,2025,0,"No, never",5,Not during this semester,38
9/8/2021 8:49:35,6,0,Geography,2024,0,"No, never",7,During this semester,0
9/8/2021 8:50:10,7,0,Economics,2025,0,"Yes, a little",9,Not during this semester,0
9/8/2021 8:50:31,6,0,Neuroscience,2025,1,"No, never",3,Not during this semester,115
9/8/2021 8:51:08,6,0,Chemistry,2022,1,"Yes, a little",8,Not during this semester,2
9/8/2021 8:51:32,8.15,0,Chemistry ,2022,0,"Yes, a lot",7,Not during this semester,4930
9/8/2021 8:51:59,3,1,Psychology ,2023,1,"Yes, a little",10,Not during this semester,6
9/8/2021 8:52:04,8,0,Linguistics,2025,0,"No, never",9,Not during this semester,0
9/8/2021 9:46:54,8,1,Math,2023,0,"Yes, a little",6,Not during this semester,0
9/8/2021 9:47:43,7,2,Neuroscience,2023,1,"Yes, a little",7,Not during this semester,1
9/8/2021 9:56:42,9,0,geology,2022,0,"Yes, a lot",9,Not during this semester,2
9/8/2021 9:57:40,8,0,Philosophy,2023,0,"Yes, a little",7,Not during this semester,2226
9/8/2021 9:58:30,6.5,2,History,2024,1,"No, never",8,During this semester,1154
9/8/2021 9:59:01,7.5,0,Environmental Studies,2022,1,"No, never",7,Not during this semester,38
9/8/2021 9:59:04,5,0,Neuroscience,2023,1,"Yes, a little",7,Not during this semester,902
9/8/2021 9:59:19,3,1,Computer Science,2023,1,"Yes, a lot",7,Not during this semester,7
9/8/2021 9:59:21,6,2,Biology,2023,1,"Yes, a little",7,Not during this semester,26
9/8/2021 9:59:26,8,1,sociology,2022,0,"Yes, a little",7,Not during this semester,10
9/8/2021 9:59:28,6,0,Physics,2022,0,"Yes, a lot",7,During this semester,4505
9/8/2021 10:00:26,5,2,math,2023,1,"Yes, a lot",10,Not during this semester,0
9/8/2021 10:00:34,8,0,Biology,2023,0,"Yes, a little",8,During this semester,334
9/8/2021 10:00:44,7,0,Economics,2023,0,"Yes, a lot",8,During this semester,1609
9/8/2021 10:02:15,6,0,Computer Science,2022,0,"Yes, a little",7,Not during this semester,65
9/8/2021 10:02:17,8,0,Political Science,2023,0,"No, never",4,Not during this semester,7
9/8/2021 10:02:51,8,1,International Studies,2022,0,"No, never",5,Not during this semester,16
9/8/2021 10:02:54,6.5,0,Environmental Studies,2022,0,"Yes, a little",6,Not during this semester,3245
9/8/2021 10:03:29,7,3,Economics ,2023,1,"Yes, a little",8,During this semester,3
9/8/2021 10:03:49,6,0,International Studies,2023,1,"Yes, a little",5,Not during this semester,1
9/8/2021 10:59:56,5,0,Statistics,2025,1,"Yes, a little",9,Not during this semester,309
9/8/2021 13:52:38,6,2,spanish,2022,0,"No, never",1,Not during this semester,3
1/21/2022 9:22:06,7,0,Computer Science,2025,1,"No, never",8,Not during this semester,138
1/21/2022 9:22:09,7,1,Applied Math and Stat (AMS),2024,1,"Yes, a little",8,Not during this semester,4
1/21/2022 9:25:27,8,0,Biology,2024,0,"No, never",8,During this semester,0
1/21/2022 9:25:32,7.5,1,Biology,2024,0,"Yes, a little",8,Not during this semester,8
1/21/2022 9:25:34,7,2,Biology,2023,0,"No, never",5,During this semester,0
1/21/2022 9:25:46,6.5,0,Computer Science,2024,1,"Yes, a little",7,Not during this semester,638
1/21/2022 9:25:47,9,0,"Computer Science, German",2025,0,"No, never",8,Not during this semester,0
1/21/2022 9:25:49,6.5,1,Biology,2023,1,"Yes, a little",8,Not during this semester,2
1/21/2022 9:25:56,8,0,Geology,2024,0,"No, never",6,Not during this semester,8
1/21/2022 9:25:57,5.5,0,Environmental Studies,2025,0,"Yes, a little",7,Not during this semester,471
1/21/2022 9:25:58,8,0,Biology,2024,0,"No, never",10,Not during this semester,0
1/21/2022 9:26:02,7,0,neuroscience ,2024,1,"Yes, a little",6,During this semester,2
1/21/2022 9:26:05,7,0,American Studies,2022,0,"Yes, a little",5,Not during this semester,16
1/21/2022 9:26:17,5,1,Neuroscience,2024,0,"No, never",6,Not during this semester,2936
1/21/2022 9:26:29,4,0,Economics,2025,0,"Yes, a little",9,During this semester,109
1/21/2022 9:26:49,8,0,psychology ,2024,2,"Yes, a lot",8,Not during this semester,3
1/21/2022 9:26:57,4.5,0,Computer Science,2024,0,"Yes, a little",8,Not during this semester,2231
1/21/2022 9:27:24,5,0,Environmental Studies,2024,0,"No, never",5,During this semester,2826
1/21/2022 9:27:28,6,0,Computer Science,2024,0,"No, never",8,Not during this semester,0
1/21/2022 9:27:40,7,0,Undeclared,2025,1,"No, never",8,Not during this semester,2
1/21/2022 9:28:00,5,0,Economics,2025,0,"No, never",9,During this semester,200
1/21/2022 9:28:04,7,0,Neuroscience ,2024,0,"No, never",7,During this semester,582
1/21/2022 9:28:05,6,0,Neuroscience,2024,1,"Yes, a little",6,Not during this semester,293
1/21/2022 9:28:15,8,1,Biology,2024,0,"Yes, a little",10,Not during this semester,1
1/21/2022 9:28:29,7,0,Neuroscience,2024,0,"No, never",8,Not during this semester,1
1/21/2022 9:28:29,7,0,Psychology,2024,0,"Yes, a little",10,During this semester,1624
1/21/2022 9:29:17,6,0,Economics,2024,1,"Yes, a little",7,During this semester,2085
1/21/2022 9:30:31,9,1,Biology ,2024,0,"Yes, a little",7,Not during this semester,0
1/21/2022 10:36:07,7,0,Neuroscience,2024,0,"No, never",8,Not during this semester,2
1/21/2022 10:36:19,8,0,Environmental Studies,2024,0,"Yes, a little",7,Not during this semester,3
1/21/2022 10:36:19,7,1,Computer Science,2023,0,"Yes, a little",7,Not during this semester,185
1/21/2022 10:36:22,7,0,Computer Science,2024,0,"No, never",9,Not during this semester,1758
1/21/2022 10:36:32,7.5,0,Biology,2024,1,"Yes, a little",8,During this semester,0
1/21/2022 10:36:33,7.5,0,psychology,2022,2,"No, never",5,Not during this semester,7
1/21/2022 10:36:33,6,0,Neuroscience,2025,0,"No, never",6,During this semester,0
1/21/2022 10:36:34,7,0,music minor,2025,1,"No, never",9,During this semester,46
1/21/2022 10:36:34,7.5,2,biology,2024,1,"Yes, a little",6,During this semester,1
1/21/2022 10:36:35,6,0,Math,2023,0,"Yes, a little",7,Not during this semester,1
1/21/2022 10:36:36,8,0,Chemistry (emphasis in Biochemistry),2022,0,"Yes, a little",9,Not during this semester,69
1/21/2022 10:36:40,7,0,Sociology,2023,0,"No, never",7,Not during this semester,2
1/21/2022 10:36:46,4.5,2,Economics,2024,0,"Yes, a little",4,Not during this semester,3290
1/21/2022 10:36:47,9,0,economics,2024,0,"Yes, a little",6,During this semester,
1/21/2022 10:36:52,7,0,Neuroscience,2023,0,"Yes, a little",8,Not during this semester,15
1/21/2022 10:36:54,7,0,Economics,2024,0,"Yes, a little",9,Not during this semester,28
1/21/2022 10:36:59,10,0,Math,2024,1,"Yes, a little",7,Not during this semester,983
1/21/2022 10:37:00,7,0,Environmental Studies,2025,0,"No, never",8,During this semester,234
1/21/2022 10:37:00,7,0,Economics,2024,0,"Yes, a little",8,Not during this semester,0
1/21/2022 10:37:01,8,0,International Studies,2024,0,"No, never",10,Not during this semester,131
1/21/2022 10:37:02,6,1,Environmental Studies,2024,0,"Yes, a little",6,Not during this semester,0
1/21/2022 10:37:08,7,1,Mathematics ,2024,1,"Yes, a lot",9,Not during this semester,3
1/21/2022 10:37:14,7,0,Biology,2024,0,"Yes, a little",7,Not during this semester,2751
1/21/2022 10:37:14,7.5,0,Undecided,2025,1,"No, never",9,During this semester,21
1/21/2022 10:37:28,8,1,environmental studies (potential major),2025,1,"Yes, a little",7,Not during this semester,7
1/21/2022 10:37:33,7,0,Applied Mathematics,2023,0,"Yes, a little",7,During this semester,2501
1/21/2022 10:37:42,6,0,Computer Science,2023,0,"Yes, a little",8,Not during this semester,50
1/21/2022 10:37:56,10,0,Economics ,2025,1,"No, never",9,During this semester,4
8/31/2022 10:37:31,7,0,Economics,2025,0,"No, never",8,Not during this semester,56
8/31/2022 10:37:34,7,0,Biology,2024,0,"No, never",6,Not during this semester,5
8/31/2022 10:37:39,7,0,Neuroscience,2025,1,"No, never",5,Not during this semester,478
8/31/2022 10:37:44,7,1,english,2024,0,"Yes, a little",8,During this semester,5
8/31/2022 10:37:45,8,0,biology,2026,0,"No, never",7,Not during this semester,2
8/31/2022 10:37:46,8,1,Psychology,2026,1,"No, never",7,Not during this semester,41
8/31/2022 10:37:52,7.5,0,Anthropology,2026,1,"No, never",6,Not during this semester,1565
8/31/2022 10:38:00,8,0,Major,2024,0,"Yes, a little",6,During this semester,2299
8/31/2022 10:38:01,7,0,Chemistry,2024,0,"Yes, a lot",6,Not during this semester,59
8/31/2022 10:38:02,6.5,0,music,2023,1,"No, never",3,During this semester,4
8/31/2022 10:38:07,8,1,Physics,2023,0,"Yes, a little",7,Not during this semester,4287
8/31/2022 10:38:17,9,0,History,2024,1,"Yes, a little",10,Not during this semester,90
8/31/2022 10:38:21,7,1,chemistry,2024,0,"Yes, a little",3,Not during this semester,39
8/31/2022 10:39:47,7,0,Physics,2023,1,"Yes, a lot",8,During this semester,2400
8/31/2022 10:40:23,6.5,0,Biology,2024,1,"Yes, a little",5,During this semester,10
8/31/2022 10:40:35,7,0,Biology,2024,0,"Yes, a little",6,Not during this semester,8
8/31/2022 10:40:41,7,1,Computer Science,2023,0,"Yes, a little",7,Not during this semester,3000
8/31/2022 10:40:46,8,0,Geology,2025,1,"Yes, a little",8,Not during this semester,6
8/31/2022 10:40:52,8,1,Environmental Studies,2025,1,"Yes, a little",7,Not during this semester,1308
8/31/2022 14:00:11,8,0,Chemistry,2026,1,"No, never",8,Not during this semester,95
8/31/2022 14:00:47,7,1,Chemistry,2023,0,"Yes, a little",4,Not during this semester,2
8/31/2022 14:01:03,7,0,History,2026,1,"No, never",3,Not during this semester,0
8/31/2022 14:01:08,6.5,0,History ,2024,0,"Yes, a little",3,Not during this semester,30
8/31/2022 14:01:27,8,1,Economics ,2024,0,"No, never",4,During this semester,4254
8/31/2022 14:01:41,8.5,0,Geography,2025,0,"Yes, a little",6,Not during this semester,2671
8/31/2022 14:02:57,7,1,Economics,2025,0,"No, never",7,Not during this semester,0
8/31/2022 14:03:45,7,0,Biology,2024,1,"Yes, a little",2,Not during this semester,2000
8/31/2022 14:03:53,5.5,0,,2024,,"Yes, a lot",4,Not during this semester,1000
8/31/2022 14:03:54,7,1,Biology,2025,0,"Yes, a little",7,Not during this semester,0
8/31/2022 14:03:57,7,0,Computer Science,2024,0,"Yes, a little",8,Not during this semester,0
8/31/2022 14:03:57,7.5,1,Economics ,2024,0,"Yes, a little",6,During this semester,9000
8/31/2022 14:04:15,7,0,Economics,2025,0,"Yes, a little",5,Not during this semester,3
8/31/2022 14:04:19,8,1,Biology,2026,0,"No, never",5,Not during this semester,5
8/31/2022 14:04:36,8.5,0,Neuroscience,2025,0,"Yes, a little",6,During this semester,0
8/31/2022 14:05:03,4.5,0,economics,2025,0,"Yes, a little",8,Not during this semester,999
8/31/2022 14:05:06,8,0,Neuroscience,2025,0,"No, never",3,Not during this semester,0
8/31/2022 14:05:06,6.5,1,Chemistry,2023,1,"Yes, a lot",4,During this semester,1000
8/31/2022 14:05:08,7,0,Econ,2026,0,"No, never",7,Not during this semester,7
8/31/2022 14:05:24,5.5,1,Biology(Biochem),2026,0,"No, never",6,Not during this semester,0
8/31/2022 14:05:42,8,0,Psych,2025,1,"No, never",7,Not during this semester,0
8/31/2022 14:06:02,8,1,Biology,2025,0,"No, never",3,Not during this semester,3
8/31/2022 14:06:15,5,0,Biology,2024,0,"Yes, a little",4,During this semester,2055
8/31/2022 14:06:56,11,1,Economics,2024,1,"Yes, a little",6,During this semester,2117
8/31/2022 14:07:15,8.5,0,Economics,2025,0,"Yes, a little",6,During this semester,1800
8/31/2022 14:08:04,6,2,Biology,2026,0,"No, never",6,During this semester,9
8/31/2022 15:14:34,8,0,Economics ,2026,1,"No, never",8,During this semester,0
8/31/2022 15:15:05,8,0,Bio,2024,0,"Yes, a little",5,During this semester,2558
8/31/2022 15:15:05,8,0,Economics,2024,0,"Yes, a little",5,Not during this semester,28199
8/31/2022 15:15:05,7,1,Econ,2025,0,"Yes, a little",5,Not during this semester,213
8/31/2022 15:15:16,6,0,Biology,2025,0,"No, never",6,Not during this semester,28866
8/31/2022 15:15:17,8,0,Biology,2025,0,"Yes, a little",4,Not during this semester,1836
8/31/2022 15:15:23,8,1,Mathematics,2025,0,"Yes, a little",7,Not during this semester,2221
8/31/2022 15:15:28,6,0,Psychology,2026,1,"No, never",8,During this semester,23
8/31/2022 15:15:36,6,1,biology ,2025,0,"Yes, a little",8,Not during this semester,128
8/31/2022 15:15:53,8,0,Geology,2024,0,"No, never",5,During this semester,0
8/31/2022 15:16:06,7,0,Neuro/Anthro,2025,0,"No, never",5,Not during this semester,2
8/31/2022 15:16:08,6,0,Biology,2025,0,"No, never",7,Not during this semester,0
8/31/2022 15:16:09,8,0,Psychology,2026,1,"No, never",6,Not during this semester,7
8/31/2022 15:16:09,9.5,0,Neuroscience,2026,1,"No, never",7,During this semester,104
8/31/2022 15:16:22,7.5,0,Undecided,2026,1,"No, never",5,Not during this semester,0
8/31/2022 15:16:27,7.5,0,undecided,2025,0,"Yes, a little",8,Not during this semester,353
8/31/2022 15:16:30,8.5,0,computer science,2025,0,"No, never",8,Not during this semester,0
8/31/2022 15:16:30,7,0,undeclared,2025,0,"Yes, a little",7,Not during this semester,1
8/31/2022 15:16:48,7,2,Computer Science,2024,0,"Yes, a lot",8,Not during this semester,100
8/31/2022 15:17:08,8,1,Creative writing and statistics (maybe as a minor),2026,0,"No, never",6,Not during this semester,40000
8/31/2022 15:17:09,7,0,Political Science,2024,0,"Yes, a little",5,During this semester,20572
8/31/2022 15:17:14,5,0,Physics,2026,0,"No, never",7,During this semester,187
8/31/2022 15:17:15,7,0,Biology,2024,0,"Yes, a little",5,Not during this semester,614
8/31/2022 15:17:28,7,1,Econ,2025,1,"No, never",3,Not during this semester,0
8/31/2022 19:31:31,7,2,History,2024,,"No, never",6,Not during this semester,100
8/31/2022 23:31:29,7,0,Neuroscience,2025,0.25,"No, never",5,During this semester,154
9/1/2022 17:29:19,9,0,Music,2024,0,"Yes, a little",8,Not during this semester,3247
9/2/2022 9:45:07,7,1,CS,2023,0,"Yes, a little",7,Not during this semester,3000
9/2/2022 9:45:09,8,0,biology,2024,1,"Yes, a little",8,Not during this semester,2
9/2/2022 9:45:57,6,0,Political Science,2026,0,"No, never",7,Not during this semester,27
1/19/2023 13:55:20,9,0,Political Science ,2024,0,"No, never",6,During this semester,0
1/19/2023 13:56:18,8,0,Neuroscience,2025,0,"Yes, a little",6,Not during this semester,4
1/19/2023 13:57:08,4,0,Geology,2025,0,"Yes, a little",9,Not during this semester,0
1/19/2023 13:57:14,6,1,Economics,2025,0,"No, never",2,Not during this semester,75
1/19/2023 14:05:54,7,0,biology,2025,0,"No, never",7,During this semester,0
1/19/2023 14:06:39,7,1,Art History,2025,2,"Yes, a lot",6,Not during this semester,0
1/19/2023 14:06:48,9,0,Math,2025,0,"Yes, a little",9,During this semester,822
1/19/2023 14:06:52,8,0,Economics,2026,0,"No, never",7,During this semester,0
1/19/2023 14:07:03,9,1,Music major?,2026,1,"No, never",6,During this semester,489
1/19/2023 14:07:09,7,1,Neuroscience,2025,0,"No, never",6,Not during this semester,2638
1/19/2023 14:07:11,7,0,Computer Science,2023,0,"Yes, a little",6,Not during this semester,588
1/19/2023 14:07:20,7,0,undecided,2026,0,"Yes, a little",7,During this semester,15
1/19/2023 14:07:21,7.5,0,Neuroscience,2025,1.5,"Yes, a little",5,Not during this semester,0
1/19/2023 14:07:26,9,0,Physics,2023,1,"Yes, a little",6,During this semester,1788
1/19/2023 14:07:33,7,2,Media and Cultural Studies,2025,0,"Yes, a little",6,Not during this semester,1
1/19/2023 14:07:50,9.5,0,Biology,2025,0,"No, never",6,Not during this semester,4
1/19/2023 14:07:55,8,0,Math,2026,1,"Yes, a lot",3,During this semester,486
1/19/2023 14:07:58,8,1,Neuroscience,2026,1,"No, never",7,Not during this semester,7001
1/19/2023 14:08:03,7,0,Econ,2026,0.5,"No, never",8,Not during this semester,99
1/19/2023 14:08:16,7,0,econ,2026,0,"No, never",6,During this semester,0
1/19/2023 14:08:20,6,0,Biology,2025,1,"No, never",5,Not during this semester,0
1/19/2023 14:08:20,8,0,psychology,2025,1,"Yes, a little",8,Not during this semester,99
1/19/2023 14:08:26,8.5,1,Chemistry,2026,0,"No, never",8,During this semester,370
1/19/2023 14:08:31,8,0,Comp Sci and Mathematics,2026,0,"No, never",10,During this semester,4075
1/19/2023 14:09:47,8,0,neuroscience,2025,0,"No, never",6,During this semester,2
1/19/2023 14:10:07,8,0,Economics,2025,0,"Yes, a little",8,Not during this semester,0
1/19/2023 14:10:09,7,0,Comp/Sci,2024,0,"No, never",6,Not during this semester,3
1/19/2023 14:10:14,8,0,international studies,2026,0,"No, never",8,Not during this semester,9
1/19/2023 14:15:21,10,0,neuroscience,2025,0,"No, never",4,During this semester,864
1/19/2023 14:16:29,9,0,Data Science,2025,1,"Yes, a lot",6,During this semester,13
1/19/2023 15:36:15,6,1.5,Political Science,2025,0,"No, never",6,During this semester,0
1/19/2023 15:36:46,7,2,Computer Science,2025,0,"Yes, a little",8,Not during this semester,6
1/19/2023 15:36:48,3,0,Psychology,2026,1,"Yes, a little",6,Not during this semester,540
1/19/2023 15:36:51,7,1,Geography,2026,1,"Yes, a lot",7,Not during this semester,0
1/19/2023 15:36:55,7,0,biochemistry,2026,0,"No, never",8,Not during this semester,4
1/19/2023 15:37:05,8,2,Poli Sci,2025,0,"No, never",8,During this semester,28338
1/19/2023 15:37:06,6,0,Psychology,2025,0,"Yes, a little",7,Not during this semester,8
1/19/2023 15:37:11,7.5,2,Sociology,2025,1,"Yes, a little",8,Not during this semester,1999
1/19/2023 15:37:12,9,0,polisci,2025,0,"Yes, a little",6,During this semester,0
1/19/2023 15:37:15,2.5,1,Political Science,2025,1,"Yes, a little",7,Not during this semester,12
1/19/2023 15:37:16,7.5,0,linguistics,2025,1,"Yes, a little",8,During this semester,6601
1/19/2023 15:37:19,10,0,Computer Science,2025,0,"Yes, a little",8,Not during this semester,26618
1/19/2023 15:37:21,8,0,Economics,2025,0,"Yes, a little",8,Not during this semester,122
1/19/2023 15:37:26,7.5,1,psychology,2026,0,"No, never",6,Not during this semester,2
1/19/2023 15:38:06,8,0,Computer Science,2026,1,"No, never",9,Not during this semester,1
1/19/2023 15:38:52,8,0,Psychology,2025,1,"Yes, a little",6,During this semester,0
1/19/2023 15:39:12,7.5,1,Data Science,2025,0,"Yes, a little",10,Not during this semester,2200
1/19/2023 15:39:20,8,0,Biology,2025,0,"Yes, a little",6,During this semester,2932
1/19/2023 15:39:23,8,0,Theater,2025,0,"Yes, a little",7,Not during this semester,1723
1/19/2023 15:39:33,8,0,Comp Sci,2026,0,"No, never",7,Not during this semester,27251
1/19/2023 15:39:44,8,0,Neuroscience,2026,1,"No, never",8,Not during this semester,0
1/19/2023 15:39:51,4,0,Biology ,2025,1,"Yes, a lot",7,During this semester,150
1/19/2023 15:39:57,7,1,Economics ,2025,1,"Yes, a lot",9,During this semester,1300
1/19/2023 15:46:40,6,0,math or Econ,2025,0,"Yes, a little",10,During this semester,99
1/20/2023 10:31:08,9,1,Linguistics,2025,0,"No, never",7,During this semester,0
1/20/2023 10:31:14,8,0,Anthropology,2026,0,"No, never",7,During this semester,0
1/20/2023 10:31:14,7,1.5,Physics,2023,0,"Yes, a little",7,Not during this semester,1273
1/20/2023 10:31:23,6,0,I.S.,2026,0,"No, never",7,During this semester,0
1/20/2023 10:31:25,6,0,CompSci,2025,0,"Yes, a little",7,Not during this semester,0
1/20/2023 10:31:29,8.5,0,Environmental Studies,2025,0,"Yes, a little",8,Not during this semester,10
1/20/2023 10:31:31,6,0,Psychology,2026,0,"No, never",3,Not during this semester,336
1/20/2023 10:31:36,7,0,Economics,2026,0,"Yes, a little",8,During this semester,1004
1/20/2023 10:31:47,7,0,Political Science,2025,0,"Yes, a little",6,Not during this semester,2
1/20/2023 10:31:53,8,1,Econ,2025,0,"Yes, a little",6,Not during this semester,20
1/20/2023 10:32:01,11,0,Statistics,2025,1,"Yes, a little",7,During this semester,15190
1/20/2023 10:32:03,7,0,Math,2025,0,"Yes, a little",6,Not during this semester,350
1/20/2023 10:32:15,8,0,Econ,2026,0,"No, never",7,Not during this semester,50
1/20/2023 10:32:47,8,1,Geology,2025,1,"Yes, a little",6,During this semester,0
1/20/2023 10:32:50,7,0,sociology,2024,0,"No, never",6,Not during this semester,0
1/20/2023 10:32:51,7,0,Creative Writing,2023,0,"Yes, a little",9,Not during this semester,2
1/20/2023 10:32:53,6.5,0,Sociology,2023,0,"Yes, a little",7,During this semester,1215
1/20/2023 10:33:01,6,0,Data Science,2025,0,"Yes, a lot",10,During this semester,1
1/20/2023 10:33:30,8,0,Biology,2024,1,"Yes, a little",8,Not during this semester,4
1/20/2023 10:33:41,3.5,0,Economics,2025,0,"Yes, a little",3,Not during this semester,832
1/20/2023 10:35:03,7,0,Econ,2026,0,"No, never",10,Not during this semester,999
1/20/2023 10:35:20,4,0,Political Science ,2025,0,"No, never",8,During this semester,3000
1/20/2023 10:36:51,9,0,"Econ, Comp Sci",2026,0,"No, never",8,Not during this semester,439
1/20/2023 10:38:05,7,0,Math,2026,1,"No, never",8,During this semester,40
1/20/2023 11:42:56,7,0,Mathematics,2025,0,"Yes, a lot",6,During this semester,0
1/20/2023 11:43:01,7,0,Data science,2025,1,"Yes, a little",8,Not during this semester,10000
1/20/2023 11:43:09,10,0,Education,2025,0,"No, never",4,Not during this semester,0
1/20/2023 11:43:27,7,0,environmental studies,2026,0,"No, never",8,During this semester,0
1/20/2023 11:43:31,8,1,psychology,2025,1,"No, never",6,Not during this semester,0
1/20/2023 11:43:37,7,1,Anthropology ,2026,1,"No, never",8,Not during this semester,0
1/20/2023 11:43:39,5,0,Data Science,2026,1,"Yes, a lot",8,Not during this semester,6
1/20/2023 11:43:50,7.5,0,cs,2023,0,"No, never",5,Not during this semester,15
1/20/2023 11:44:04,7,0,International Studies,2024,1,"No, never",5,During this semester,40
1/20/2023 11:44:06,7,0,data science,2026,0,"Yes, a lot",8,Not during this semester,0
1/20/2023 11:44:07,7,0,Physics,2023,0,"Yes, a lot",8,During this semester,2
1/20/2023 11:44:35,6,0,Comp Sci,2026,0,"No, never",7,Not during this semester,3
1/20/2023 11:44:37,7,0,environmental studies,2024,1,"No, never",5,Not during this semester,2600
1/20/2023 11:45:05,6,0,applied math,2026,1,"No, never",7,During this semester,5739
1/20/2023 11:45:09,9,0,Geography,2023,0,"No, never",7,Not during this semester,6
1/20/2023 11:45:10,8,0,Computer Science,2023,1,"Yes, a little",7,Not during this semester,4997
1/20/2023 11:45:18,7,0,Physics (astronomy),2023,0,"Yes, a little",5,During this semester,3600
1/20/2023 11:45:24,8.5,0,Computer Science,2026,1,"Yes, a lot",9,During this semester,3800
1/20/2023 11:45:28,7,0,Environmental Studies,2025,0,"No, never",5,Not during this semester,7000
1/20/2023 11:45:28,7,0,biology,2025,0,"No, never",3,Not during this semester,181
1/20/2023 11:45:29,8,0,comp sci,2025,0,"Yes, a little",7,During this semester,1500
1/20/2023 11:45:31,5.5,0,Studio Art ,2025,1,"No, never",5,Not during this semester,9
1/20/2023 11:45:34,6,0,studio art,2026,0,"No, never",7,During this semester,626
1/20/2023 11:46:11,8.5,0,Psychology ,2025,0,"Yes, a little",4,Not during this semester,154
1/20/2023 11:46:24,8,1,political science,2026,1,"No, never",7,During this semester,1225
1/20/2023 11:46:25,8,1,Econ,2024,0,"Yes, a little",7,Not during this semester,5746